ZIP_CODE,FHSZ,Risk Category
92336,2.75,High
92337,2.6,High
92339,2.814814814814815,High
92341,3.0,High
92344,1.6896551724137931,Moderate
92345,2.2333333333333334,Moderate
92346,2.2857142857142856,Moderate
92352,2.6666666666666665,High
92354,3.0,High
92356,1.878787878787879,Moderate
92358,3.0,High
92359,2.3617021276595747,Moderate
92371,2.5,High
92372,2.0,Moderate
92373,2.2941176470588234,Moderate
92374,2.0,Moderate
92376,2.6666666666666665,High
92377,2.090909090909091,Moderate
92378,3.0,High
92382,3.0,High
92385,3.0,High
92386,2.5714285714285716,High
92391,3.0,High
92392,1.0,Low
92397,2.9,High
92399,2.8421052631578947,High
92404,3.0,High
92405,3.0,High
92407,2.5478260869565217,High
92411,2.0,Moderate
92503,1.8857142857142857,Moderate
92504,1.85,Moderate
92505,3.0,High
92506,3.0,High
92507,3.0,High
92508,2.3333333333333335,Moderate
92509,2.2,Moderate
92521,3.0,High
92530,2.425925925925926,Moderate
92532,2.235294117647059,Moderate
92536,2.125,Moderate
92539,2.4444444444444446,Moderate
92543,2.2142857142857144,Moderate
92544,1.9736842105263157,Moderate
92545,1.975609756097561,Moderate
92548,2.4285714285714284,Moderate
92549,2.740740740740741,High
92555,1.96875,Moderate
92557,2.6153846153846154,High
92561,2.1551724137931036,Moderate
92562,2.0952380952380953,Moderate
92563,2.3846153846153846,Moderate
92567,2.0,Moderate
92570,2.0833333333333335,Moderate
92571,1.8333333333333333,Moderate
92582,2.2,Moderate
92583,2.823529411764706,High
92584,2.267605633802817,Moderate
92585,2.0952380952380953,Moderate
92586,2.1,Moderate
92587,2.8684210526315788,High
92590,2.0588235294117645,Moderate
92591,1.9090909090909092,Moderate
92592,2.358490566037736,Moderate
92595,2.5,High
92596,1.9814814814814814,Moderate
92602,2.5714285714285716,High
92603,3.0,High
92610,2.5,High
92612,3.0,High
92617,3.0,High
92618,2.3333333333333335,Moderate
92625,3.0,High
92629,3.0,High
92630,3.0,High
92637,3.0,High
92651,2.4545454545454546,Moderate
92656,2.6363636363636362,High
92657,2.5,High
92660,3.0,High
92672,3.0,High
92673,3.0,High
92675,2.525,High
92676,3.0,High
92677,2.8333333333333335,High
92679,2.1875,Moderate
92688,2.4166666666666665,Moderate
92692,2.6,High
92694,2.3333333333333335,Moderate
92705,3.0,High
92782,3.0,High
92807,3.0,High
92808,2.8125,High
92821,2.8,High
92823,2.5714285714285716,High
92833,3.0,High
92835,3.0,High
92860,2.5,High
92861,3.0,High
92867,3.0,High
92869,2.5,High
92870,3.0,High
92879,2.6666666666666665,High
